nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,observacao,confianca
West China Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,West China Hospital,Não cadastrar como instituição de ensino principal.,Alta
Know Your Bee Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Know Your Bee Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Florida Dept Agr & Consumer Serv,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Florida Department Agricultural & Consumer Serv,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
NSW Dept Primary Ind,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,NSW Department Primary Ind,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Ctr Rech Grains Inc CEROM,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Center Rech Grains Inc CEROM,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Parasight Syst Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Parasight Syst Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Commiss Sci & Technol,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Commission Science & Technology,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Michigan Ctr Rural Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Michigan Center Rural Health,Não cadastrar como instituição de ensino principal.,Alta
Guangdong Second Prov Gen Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Guangdong Second Prov Gen Hospital,Não cadastrar como instituição de ensino principal.,Alta
Volvo Grp India Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Volvo Grp India Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
RC2 Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,RC2 Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Res & Entrepreneurship Dev Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Research & Entrepreneurship Dev Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
ShangHaiDieCheng BM Software Unit,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,ShangHaiDieCheng BM Software Unit,Padrão de empresa privada ou centro de P&D corporativo.,Alta
DHC Software Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,DHC Software Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Engineers Business SA EfB,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Engineers Business SA EfB,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Grp Invest Ambiental GIA,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Grp Invest Ambiental GIA,Padrão de empresa privada ou centro de P&D corporativo.,Alta
BASF Agr Ctr,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,BASF Agricultural Center,Padrão de empresa privada ou centro de P&D corporativo.,Alta
AgriTech Solut,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AgriTech Solut,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Cross Compass Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Cross Compass Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Dept Digitalizat & O&N Tools,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Digitalizat & O&N Tools,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Ecole Natl Super Informat Anal Syst ENSIAS,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Ecole National Super Informat Anal Syst ENSIAS,Padrão de empresa privada ou centro de P&D corporativo.,Alta
USDA ARS ETSARC,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,USDA ARS ETSARC,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Minist Hlth SESAL,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Health SESAL,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
USDA NIFA,mover_para_organizacoes,organizacoes,Agência pública de pesquisa,USDA National Institute of Food and Agriculture,Não é universidade.,Alta
Cummins Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Cummins Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Res Ctr Real Time & Embedded Comp Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Research Center Real Time & Embedded Comp Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tominaga Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Tominaga Hospital,Não cadastrar como instituição de ensino principal.,Alta
Ohbayashi Clin,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Ohbayashi Clin,Não cadastrar como instituição de ensino principal.,Alta
Japanese Red Cross Shizuoka Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Japanese Red Cross Shizuoka Hospital,Não cadastrar como instituição de ensino principal.,Alta
Sendai Headache & Neurol Clin,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Sendai Headache & Neurol Clin,Não cadastrar como instituição de ensino principal.,Alta
Gen Directorate Hlth Affairs,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Gen Directorate Health Affairs,Não cadastrar como instituição de ensino principal.,Alta
LMIS AG,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,LMIS AG,Padrão de empresa privada ou centro de P&D corporativo.,Alta
St Lukes Hosp Boleslawiec,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,St Lukes Hospital Boleslawiec,Não cadastrar como instituição de ensino principal.,Alta
Lower Silesian Specialist Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Lower Silesian Specialist Hospital,Não cadastrar como instituição de ensino principal.,Alta
Nonpubl Healthcare Ctr KINESIS,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Nonpubl Healthcare Center KINESIS,Não cadastrar como instituição de ensino principal.,Alta
Google Res,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Google Research,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Australian Meat Res Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Australian Meat Research Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Govt Doon Med Coll,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Doon Med College,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Ayoub Sci LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Ayoub Science LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
NetApp Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,NetApp Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
ENEA Italian Natl Agcy New Technol Energy & Susta,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,ENEA Italian National Agency New Technology Energy & Susta,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
CARE Ctr Anim Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,CARE Center Anim Hospital,Não cadastrar como instituição de ensino principal.,Alta
SafetySpect Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,SafetySpect Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Kalyani Govt Engn Coll,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Kalyani Govt Engineering College,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Wuxi Haihe Equipment Sci & Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Wuxi Haihe Equipment Science & Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Ningbo Hongwei Food Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Ningbo Hongwei Food Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Meihua Catering Management Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Meihua Catering Management Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Air Force Med Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Air Force Med Center,Não cadastrar como instituição de ensino principal.,Alta
Yale New Haven Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Yale New Haven Hospital,Não cadastrar como instituição de ensino principal.,Alta
Deloitte & Touche LLP,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Deloitte & Touche LLP,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Chongwe Dist Community Hlth Off,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Chongwe Dist Community Health Off,Não cadastrar como instituição de ensino principal.,Alta
Japan Int Cooperat Agcy SHIMA Project,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Japan Int Cooperat Agency SHIMA Project,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Kinondo Kwetu Hlth Serv Clin,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Kinondo Kwetu Health Serv Clin,Não cadastrar como instituição de ensino principal.,Alta
AgrEvo GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AgrEvo GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Guangdong Earthquake Agcy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Guangdong Earthquake Agency,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Minist Ecol & Environm Peoples Republ China,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Ecol & Environment Peoples Republ China,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
RSK ADAS Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,RSK ADAS Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Urban Oasis Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Urban Oasis Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
UBN Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,UBN Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
upGrad Educ Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,upGrad Educ Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Govt Tripura,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt Tripura,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Grp Invest Salud & Tecnol 4 0 Fdn Chilloa,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Grp Invest Salud & Tecnol 4 0 Fdn Chilloa,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Corp Innovat Hub,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Corp Innovat Hub,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Natl Inst Occupat Safety & Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Institute Occupat Safety & Health,Não cadastrar como instituição de ensino principal.,Alta
LEBEN Care Technol Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,LEBEN Care Technology Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Hlth & Family Welf,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Health & Family Welf,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
IBM Cloud,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,IBM Cloud,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Hlth & Informat,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Health & Informat,Não cadastrar como instituição de ensino principal.,Alta
Wagga Wagga Base Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Wagga Wagga Base Hospital,Não cadastrar como instituição de ensino principal.,Alta
Royal Prince Alfred Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Royal Prince Alfred Hospital,Não cadastrar como instituição de ensino principal.,Alta
Box Hill Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Box Hill Hospital,Não cadastrar como instituição de ensino principal.,Alta
Danube Private Univ,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Danube Private University,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Shandong Zhongke Naneng Energy Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Shandong Zhongke Naneng Energy Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Canadian Food Inspection Agcy,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Canadian Food Inspection Agency,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Serve Ag Res,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Serve Ag Research,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Virginia Tech Appl Res Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Virginia Technology Appl Research Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Inner Mongolia Power Grp Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Inner Mongolia Power Grp Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Shenzhen Nuoan Environm & Safety Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Shenzhen Nuoan Environment & Safety Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
IWK Hlth Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,IWK Health Center,Não cadastrar como instituição de ensino principal.,Alta
Marc L Berger LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Marc L Berger LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Viatris Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Viatris Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Ellcie Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Ellcie Health,Não cadastrar como instituição de ensino principal.,Alta
Bayer CropSci,mover_para_organizacoes,organizacoes,Empresa privada,Bayer Crop Science,Unificar grafia.,Alta
LinQ Technol Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,LinQ Technology Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
MORIOKA ANIM HLTH CTR,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,MORIOKA ANIM Health Center,Não cadastrar como instituição de ensino principal.,Alta
Coll Informat Syst & Technol Management Pamantasa,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,College Informat Syst & Technology Management Pamantasa,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Four Bros Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Four Bros Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Dept Elect & Comp Engn,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Elect & Comp Engineering,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Environm Syst Res Inst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Environment Syst Research Institute,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Jiangsu Zhongnong IoT Technol Co LTD,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Jiangsu Zhongnong IoT Technology Co LTD,Padrão de empresa privada ou centro de P&D corporativo.,Alta
ST Elect Infosecur Pte Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,ST Elect Infosecur Pte Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
LandScan LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,LandScan LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Dept Primary Ind & Reg Dev DPIRD,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Primary Ind & Reg Dev DPIRD,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Principles Intelligent Behav Biol & Social Syst PI,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Principles Intelligent Behav Biol & Social Syst PI,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Sci Res,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Science Research,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Prot Pvt Ltd Kuantan,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Prot Pvt Ltd Kuantan,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Clin Occupat Dis & Environm Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Clin Occupat Dis & Environment Health,Não cadastrar como instituição de ensino principal.,Alta
SPECS Surface Nano Anal GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,SPECS Surface Nano Anal GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Roketsan Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Roketsan Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Hamilton Hlth Sci,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Hamilton Health Science,Não cadastrar como instituição de ensino principal.,Alta
QuintessenceLabs Pty Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,QuintessenceLabs Pty Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tata Consultancy Serv Ltd Australia & New Zealand,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Tata Consultancy Serv Ltd Australia & New Zealand,Padrão de empresa privada ou centro de P&D corporativo.,Alta
China Tobacco Sichuan Ind Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,China Tobacco Sichuan Ind Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Beijing Qichuang Era Technol Co LTD,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Beijing Qichuang Era Technology Co LTD,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Food & Agr Org United Nations UN FAO Sydney,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Food & Agricultural Org United Nations UN FAO Sydney,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Ctr Trop Livestock Genet & Hlth CTLGH ILRI,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Center Trop Livestock Genet & Health CTLGH ILRI,Não cadastrar como instituição de ensino principal.,Alta
Geol Survey Denmark & Greenland,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Geol Survey Denmark & Greenland,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
DonkeyPower Srl,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,DonkeyPower Srl,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Deloitte Consulting SRL SB,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Deloitte Consulting SRL SB,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Deloitte NextHub SRL SB,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Deloitte NextHub SRL SB,Padrão de empresa privada ou centro de P&D corporativo.,Alta
VISTA Remote Sensing Geosci GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,VISTA Remote Sensing Geosci GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Point Rd Solut LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Point Rd Solut LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
China Merchants Fintech Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,China Merchants Fintech Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
China Natl Fisheries Corp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,China National Fisheries Corp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Renewable Energy & Expert Syst,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Renewable Energy & Expert Syst,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Tencent Med AI Lab,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Tencent Med AI Lab,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Rwanda Mil Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Rwanda Mil Hospital,Não cadastrar como instituição de ensino principal.,Alta
Minist Hlth Rwanda,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Health Rwanda,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Sudzucker AG,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Sudzucker AG,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Lab Ingn Syst Versailles LISV,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Lab Ingn Syst Versailles LISV,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Vexus Solut,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Vexus Solut,Padrão de empresa privada ou centro de P&D corporativo.,Alta
MedStar Washington Hosp Ctr,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,MedStar Washington Hospital Center,Não cadastrar como instituição de ensino principal.,Alta
Govt NCT Delhi,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt NCT Delhi,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Sandwell Hosp NHS Trust,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Sandwell Hospital NHS Trust,Não cadastrar como instituição de ensino principal.,Alta
W Birmingham Hosp NHS Trust,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,W Birmingham Hospital NHS Trust,Não cadastrar como instituição de ensino principal.,Alta
AnaPath Serv GmbH,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,AnaPath Serv GmbH,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Dept Quantitat Methods & Econ Informat,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Quantitat Methods & Econ Informat,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Govt Coll Women Univ,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Govt College Women University,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Dept Forestry & Wood Sci,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Forestry & Wood Science,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Harvard Sch Publ Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Harvard Sch Publ Health,Não cadastrar como instituição de ensino principal.,Alta
Womens Coll Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Womens College Hospital,Não cadastrar como instituição de ensino principal.,Alta
Dept Anim Sci & Prod,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Anim Science & Prod,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Cube Highways Technol Pvt Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Cube Highways Technology Pvt Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Beaumont Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Beaumont Hospital,Não cadastrar como instituição de ensino principal.,Alta
Aries Connect World Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Aries Connect World Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Ctr Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Center Hospital,Não cadastrar como instituição de ensino principal.,Alta
HAL51 Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,HAL51 Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Focused Loong Technol Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Focused Loong Technology Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
CNOOC Res Inst Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CNOOC Research Institute Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Minist Reg Municipal & Water Resources,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Ministry Reg Municipal & Water Resources,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Google LLC,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Google LLC,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Rajavithi Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Rajavithi Hospital,Não cadastrar como instituição de ensino principal.,Alta
Dept Sheep Husb,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Sheep Husb,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Dept Comp Engn,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Department Comp Engineering,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Metro North Hlth,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Metro North Health,Não cadastrar como instituição de ensino principal.,Alta
Beam Innovat SRL,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Beam Innovat SRL,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Zetafence Inc,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Zetafence Inc,Padrão de empresa privada ou centro de P&D corporativo.,Alta
InnovITech Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,InnovITech Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Haikou Municipal Peoples Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Haikou Municipal Peoples Hospital,Não cadastrar como instituição de ensino principal.,Alta
Vanderbilt Wilson Cty Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Vanderbilt Wilson Cty Hospital,Não cadastrar como instituição de ensino principal.,Alta
Vanderbilt Bedford Cty Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Vanderbilt Bedford Cty Hospital,Não cadastrar como instituição de ensino principal.,Alta
Vanderbilt Tullahoma Harton Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Vanderbilt Tullahoma Harton Hospital,Não cadastrar como instituição de ensino principal.,Alta
Acad Appl Presch Teaching & Hlth Studies Krusevac,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,Acad Appl Presch Teaching & Health Studies Krusevac,Não cadastrar como instituição de ensino principal.,Alta
Energy Commiss,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Energy Commission,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
Ghana Grid Co Ltd,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Ghana Grid Co Ltd,Padrão de empresa privada ou centro de P&D corporativo.,Alta
ESIC Med Coll & Hosp,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,ESIC Med College & Hospital,Não cadastrar como instituição de ensino principal.,Alta
Multinatl Geospatial Support Grp,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Multinatl Geospatial Support Grp,Padrão de empresa privada ou centro de P&D corporativo.,Alta
