valor_original,ocorrencias,categoria,acao_recomendada,country_name_sugerido,state_sigla_sugerido,state_name_sugerido,postal_code_sugerido,observacao
LA 70578 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,LA,Louisiana,70578,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
SC 29208 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,SC,South Carolina,29208,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
GA 30144 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,GA,Georgia,30144,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 77004 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,77004,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 92614 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,92614,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 90010 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,90010,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 32114 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,32114,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02215 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02215,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TN 37203 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TN,Tennessee,37203,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 27607 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,27607,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 65409 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,65409,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NE 68182 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NE,Nebraska,68182,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NH 03755 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NH,New Hampshire,03755,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 94143 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,94143,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 78363 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,78363,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 63103 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,63103,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 63110 USA,3,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,63110,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VT 05405 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VT,Vermont,05405,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 20742,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,20742,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 65201 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,65201,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
LA 70802 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,LA,Louisiana,70802,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 77845 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,77845,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 78666 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,78666,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 63873 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,63873,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MS 38655 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MS,Mississippi,38655,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IN 46268 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IN,Indiana,46268,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02111 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02111,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 95618 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,95618,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WV 25112 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WV,West Virginia,25112,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02114 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02114,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 21250 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,21250,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 27711 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,27711,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MO 63130 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MO,Missouri,63130,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VA 22314 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,22314,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VA 23806 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,23806,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 27709 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,27709,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NV 89557 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NV,Nevada,89557,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PR USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PR,Puerto Rico,,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IL 60208 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IL,Illinois,60208,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 32446 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,32446,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
GA 30223 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,GA,Georgia,30223,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 33430 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,33430,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
GA 30566 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,GA,Georgia,30566,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
SC 29607 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,SC,South Carolina,29607,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
ND 58202 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,ND,North Dakota,58202,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MS 39217 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MS,Mississippi,39217,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OH 43606 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OH,Ohio,43606,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CT 06510 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CT,Connecticut,06510,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
UT 84602 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,UT,Utah,84602,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PA 15282 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PA,Pennsylvania,15282,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
DC 20037 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,DC,District of Columbia,20037,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 95124 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,95124,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 10504 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,10504,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
DC 20005 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,DC,District of Columbia,20005,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 27401 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,27401,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AZ 85287 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AZ,Arizona,85287,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AZ 85040 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AZ,Arizona,85040,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CT 06511 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CT,Connecticut,06511,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
RI 02918 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,RI,Rhode Island,02918,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
DC 20064 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,DC,District of Columbia,20064,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
DC 20007 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,DC,District of Columbia,20007,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 28223 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,28223,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OH 45056 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OH,Ohio,45056,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MN 55105 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MN,Minnesota,55105,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 10032 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,10032,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
LA 70807 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,LA,Louisiana,70807,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02129 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02129,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02543 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02543,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 95126 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,95126,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TN 37614 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TN,Tennessee,37614,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
KS 66061 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,KS,Kansas,66061,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NM 88012 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NM,New Mexico,88012,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
WI 53703 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,WI,Wisconsin,53703,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IL 61455 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IL,Illinois,61455,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AL 36832 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AL,Alabama,36832,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 92037 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,92037,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
DC 20059 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,DC,District of Columbia,20059,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AL 35487 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AL,Alabama,35487,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 11794 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,11794,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OH 44115 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OH,Ohio,44115,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 01609 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,01609,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
FL 32608 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,FL,Florida,32608,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
IN 46202 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,IN,Indiana,46202,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
PA 16802,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,PA,Pennsylvania,16802,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OR 97333 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OR,Oregon,97333,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
KS 67601 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,KS,Kansas,67601,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 92507 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,92507,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 10065 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,10065,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MA 02571 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MA,Massachusetts,02571,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 27409 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,27409,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AL 35233 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AL,Alabama,35233,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
AK 99775 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,AK,Alaska,99775,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
OH 44325 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,OH,Ohio,44325,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
VA 23437 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,VA,Virginia,23437,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 76205 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,76205,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
MD 21401 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,MD,Maryland,21401,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 79106 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,79106,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CO 80526 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CO,Colorado,80526,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 10598 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,10598,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 77030 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,77030,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 94158 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,94158,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 78758 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,78758,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
CA 94304 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,CA,California,94304,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
SD 57042 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,SD,South Dakota,57042,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
TX 75799 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,TX,Texas,75799,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 11973 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,11973,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NY 14222 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NY,New York,14222,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
NC 28401 USA,2,LOCALIDADE_EUA_NAO_PAIS,"Não adicionar em paises.csv. Corrigir para country_name=Estados Unidos, state_sigla e postal_code.",Estados Unidos,NC,North Carolina,28401,"O valor está no formato Estado/território + CEP + USA, ou Estado/território + USA."
