nome_variacao_original,ocorrencias,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
UiT Arctic Univ Norway,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,UiT Arctic University Norway,UiT Arctic Univ Norway,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
IBM TJ Watson Res Ctr,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,IBM TJ Watson Research Center,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Syracuse Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Syracuse University,Syracuse Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Marshall Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Marshall University,Marshall Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Eurofins Agrosci Serv Ecotox GmbH,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Eurofins Agrosci Serv Ecotox GmbH,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Univ Tunis,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tunis,Univ Tunis,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Dr B R Ambedkar Natl Inst Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Dr B R Ambedkar National Institute Technology,Dr B R Ambedkar Natl Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sher E Kashmir Univ Agr Sci & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sher E Kashmir University Agricultural Science & Technology,Sher E Kashmir Univ Agr Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Wageningen Econ Res,,revisar_manualmente,revisao_manual,Indefinido,Wageningen Econ Research,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Res Inst Forest Resource Informat Tech,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Research Institute Forest Resource Informat Technology,Res Inst Forest Resource Informat Tech,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Samara Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Samara University,Samara Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tashkent State Pedag Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tashkent State Pedag University,Tashkent State Pedag Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UNIV GEORGIA,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University GEORGIA,UNIV GEORGIA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Indian Inst Technol ISM,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Indian Institute Technology ISM,Indian Inst Technol ISM,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
BNM Inst Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,BNM Institute Technology,BNM Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Miguel Hernandez Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Miguel Hernandez University,Miguel Hernandez Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
MNS Univ Agr,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,MNS University Agricultural,MNS Univ Agr,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Inst Nacl Tecnol Agr,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Institute Nacl Tecnol Agricultural,Inst Nacl Tecnol Agr,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
New Zealand Inst Plant & Food Res Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,New Zealand Institute Plant & Food Research Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Bangabandhu Sheikh Mujibur Rahman Agr Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangabandhu Sheikh Mujibur Rahman Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Fed Lavras UFLA,,adicionar_como_variacao,instituicoes,Universidade,Universidade Federal de Lavras,Univ Fed Lavras UFLA,Corrigir nome oficial.,Alta
Ion Ionescu Brad Univ Life Sci,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Ion Ionescu Brad University Life Science,Ion Ionescu Brad Univ Life Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Xiamen Univ Malaysia,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Xiamen University Malaysia,Xiamen Univ Malaysia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Politekn Negeri Sriwijaya,,revisar_manualmente,revisao_manual,Indefinido,Politekn Negeri Sriwijaya,,Não há padrão suficiente para corrigir automaticamente.,Baixa
All Russian Inst Plant Protect,,revisar_manualmente,revisao_manual,Indefinido,All Russian Institute Plant Protect,,Não há padrão suficiente para corrigir automaticamente.,Baixa
CNR Consiglio Nazl Ric,,revisar_manualmente,revisao_manual,Indefinido,CNR Consiglio Nazl Ric,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Jaypee Univ Engn & Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jaypee University Engineering & Technology,Jaypee Univ Engn & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Teknol MARA Selangor,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Teknol MARA Selangor,Univ Teknol MARA Selangor,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UNIV OXFORD,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University OXFORD,UNIV OXFORD,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Parker Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Parker University,Parker Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Poornima Inst Engn & Technol,,revisar_manualmente,revisao_manual,Indefinido,Poornima Institute Engineering & Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Natl Univ Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National University Technology,Natl Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tecn Norte,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tecn Norte,Univ Tecn Norte,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Embrapa Agr Informat,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Embrapa Agricultural Informat,Embrapa Agr Informat,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
GMR Inst Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,GMR Institute Technology,GMR Inst Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhaotong Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhaotong University,Zhaotong Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Iuliu Hatieganu Univ Med & Pharm,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Iuliu Hatieganu University Med & Pharm,Iuliu Hatieganu Univ Med & Pharm,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Water Res Inst,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Water Research Institute,Water Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Shaoxing Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shaoxing University,Shaoxing Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Canadian Univ Dubai,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Canadian University Dubai,Canadian Univ Dubai,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sri Venkateswara Coll Engn,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sri Venkateswara College Engineering,Sri Venkateswara Coll Engn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Fuerzas Armadas ESPE,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Fuerzas Armadas ESPE,Univ Fuerzas Armadas ESPE,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Coll Vet Sci & Anim Husb,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,College Vet Science & Anim Husb,Coll Vet Sci & Anim Husb,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Qiqihar Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Qiqihar University,Qiqihar Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shandong Business Inst,,revisar_manualmente,revisao_manual,Indefinido,Shandong Business Institute,,Não há padrão suficiente para corrigir automaticamente.,Baixa
West Anhui Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,West Anhui University,West Anhui Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
KJ Somaiya Coll Engn,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,KJ Somaiya College Engineering,KJ Somaiya Coll Engn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
CSIR Natl Bot Res Inst,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,CSIR National Bot Research Institute,CSIR Natl Bot Res Inst,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Akamai Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Akamai University,Akamai Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Beijing Foreign Studies Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Beijing Foreign Studies University,Beijing Foreign Studies Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
NORCE Norwegian Res Ctr,,revisar_manualmente,revisao_manual,Indefinido,NORCE Norwegian Research Center,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Midea Grp,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Midea Grp,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Harbin Inst Tech,,revisar_manualmente,revisao_manual,Indefinido,Harbin Institute Technology,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Beike,,revisar_manualmente,revisao_manual,Indefinido,Beike,,Não há padrão suficiente para corrigir automaticamente.,Baixa
RGPV,,revisar_manualmente,revisao_manual,Indefinido,RGPV,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Siksha O Anusandhan Deemed Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Siksha O Anusandhan Deemed University,Siksha O Anusandhan Deemed Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Inst Technol Tiruchirappalli,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Institute Technology Tiruchirappalli,Natl Inst Technol Tiruchirappalli,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Addis Ababa Sci & Technol Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Addis Ababa Science & Technology University,Addis Ababa Sci & Technol Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Orebro Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Orebro University,Orebro Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Da Yeh Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Da Yeh University,Da Yeh Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Riga Tech Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Riga Technology University,Riga Tech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lahore Garrison Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lahore Garrison University,Lahore Garrison Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Nacl Quilmes,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Nacl Quilmes,Univ Nacl Quilmes,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Weizmann Inst Sci,,revisar_manualmente,revisao_manual,Indefinido,Weizmann Institute Science,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Datta Meghe Inst Higher Educ & Res,,revisar_manualmente,revisao_manual,Indefinido,Datta Meghe Institute Higher Educ & Research,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Satbayev Univ KazNRTU,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Satbayev University KazNRTU,Satbayev Univ KazNRTU,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Almaty Management Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Almaty Management University,Almaty Management Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Mus Alparslan Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Mus Alparslan University,Mus Alparslan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Maryland Eastern Shore,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Maryland Eastern Shore,Univ Maryland Eastern Shore,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kazakh British Tech Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kazakh British Technology University,Kazakh British Tech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shahid Beheshti Univ Med Sci,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shahid Beheshti University Med Science,Shahid Beheshti Univ Med Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Bahcesehir Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Bahcesehir University,Bahcesehir Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Educ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Educ,Univ Educ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Zhongyuan Univ Technol,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Zhongyuan University Technology,Zhongyuan Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jagiellonian Univ Med Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jagiellonian University Med College,Jagiellonian Univ Med Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shanghai Univ Elect Power,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shanghai University Elect Power,Shanghai Univ Elect Power,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Andhra Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Andhra University,Andhra Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
KIIT Deemed Be Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,KIIT Deemed Be University,KIIT Deemed Be Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
AKS Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,AKS University,AKS Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
German Res Ctr Artificial Intelligence,,revisar_manualmente,revisao_manual,Indefinido,German Research Center Artificial Intelligence,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Leibniz Inst Balt Sea Res Warnemunde,,revisar_manualmente,revisao_manual,Indefinido,Leibniz Institute Balt Sea Research Warnemunde,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Univ Pernambuco,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Pernambuco,Univ Pernambuco,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Henan Acad Sci,,manter_como_instituto_pesquisa,instituicoes,Instituto de Pesquisa,Henan Acad Science,Henan Acad Sci,Pode ser instituição de pesquisa; não usar tipo Universidade sem revisão.,Média
Birla Inst Technol & Sci Pilani,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Birla Institute Technology & Science Pilani,Birla Inst Technol & Sci Pilani,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UNIV ILLINOIS,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University ILLINOIS,UNIV ILLINOIS,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Malaysia Pahang Al Sultan Abdullah UMPSA,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Malaysia Pahang Al Sultan Abdullah UMPSA,Univ Malaysia Pahang Al Sultan Abdullah UMPSA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sound Solut Sustainable Sci,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Sound Solut Sustainable Science,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Vels Inst Sci Technol & Adv Studies,,revisar_manualmente,revisao_manual,Indefinido,Vels Institute Science Technology & Adv Studies,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Hayan Grp,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Hayan Grp,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Chinmaya Vishwavidyapeeth,,revisar_manualmente,revisao_manual,Indefinido,Chinmaya Vishwavidyapeeth,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Directorate Agr,,revisar_manualmente,revisao_manual,Indefinido,Directorate Agricultural,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Ephlux Pvt Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Ephlux Pvt Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Quzhou Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Quzhou University,Quzhou Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
EPAM Syst,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,EPAM Syst,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Univ Econ Varna,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Econ Varna,Univ Econ Varna,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Inst Publ Hlth & Environm,,mover_para_organizacoes,organizacoes,Hospital / clínica / centro médico,National Institute Publ Health & Environment,,Não cadastrar como instituição de ensino principal.,Alta
Univ Fribourg,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Fribourg,Univ Fribourg,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Omni Analyt Grp,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Omni Analyt Grp,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Muban Chom Bueng Rajabhat Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Muban Chom Bueng Rajabhat University,Muban Chom Bueng Rajabhat Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Govt Coll Univ Lahore,,adicionar_como_variacao,instituicoes,Universidade,Government College University Lahore,Govt Coll Univ Lahore,Instituição real.,Alta
Air Univ Islamabad,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Air University Islamabad,Air Univ Islamabad,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Nebraska Dept Water Energy & Environm,,mover_para_organizacoes,organizacoes,Órgão público / agência / organismo internacional,Nebraska Department Water Energy & Environment,,"Padrão de ministério, governo, departamento ou agência. Não cadastrar como universidade.",Alta
St Martins Engn Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,St Martins Engineering College,St Martins Engn Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
CMR Engn Coll,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,CMR Engineering College,CMR Engn Coll,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Maharaj Vijayaram Gajapathi Raj Coll Engn,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Maharaj Vijayaram Gajapathi Raj College Engineering,Maharaj Vijayaram Gajapathi Raj Coll Engn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Malla Reddy Engn Coll Autonomous,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Malla Reddy Engineering College Autonomous,Malla Reddy Engn Coll Autonomous,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Vidya Jyothi Inst Technol Autonomous,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Vidya Jyothi Institute Technology Autonomous,Vidya Jyothi Inst Technol Autonomous,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Salale Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Salale University,Salale Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Louis Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Louis University,Natl Louis Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Higher Sch Secur & Econ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Higher Sch Secur & Econ,Higher Sch Secur & Econ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Thies,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Thies,Univ Thies,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Rajamangala Univ Technol Suvarnabhumi,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Rajamangala University Technology Suvarnabhumi,Rajamangala Univ Technol Suvarnabhumi,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Bio Zenith Sci Res Pvt Ltd,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Bio Zenith Science Research Pvt Ltd,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Univ Florida Hlth Res,,mover_para_unidades,instituicao_unidades,Hospital universitário ou unidade de saúde vinculada,University Florida Health Research,Univ Florida Hlth Res,"Cadastrar como unidade/hospital vinculado, não como instituição principal.",Alta
Sookmyung Womens Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sookmyung Womens University,Sookmyung Womens Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
UNIV UTRECHT,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University UTRECHT,UNIV UTRECHT,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
CENEX LAND OLAKES AG SERV,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,CENEX LAND OLAKES AG SERV,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Louisiana State Univ AgCenter,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Louisiana State University AgCenter,Louisiana State Univ AgCenter,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Sci & Technol Southern Philippines Cagayan Or,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Science & Technology Southern Philippines Cagayan Or,Univ Sci & Technol Southern Philippines Cagayan Or,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Dhurakij Pundit Univ DPU,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Dhurakij Pundit University DPU,Dhurakij Pundit Univ DPU,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lviv Polytech Natl Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lviv Polytech National University,Lviv Polytech Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Pacific Rim Labs Inc,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Pacific Rim Labs Inc,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Ist Zooprofilatt Sperimentale Mezzogiorno,,revisar_manualmente,revisao_manual,Indefinido,Ist Zooprofilatt Sperimentale Mezzogiorno,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Pegaso Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Pegaso University,Pegaso Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Norwest Italia Srl,,mover_para_organizacoes,organizacoes,Empresa privada / centro corporativo,Norwest Italia Srl,,Padrão de empresa privada ou centro de P&D corporativo.,Alta
Jiangsu UIniv,,revisar_manualmente,revisao_manual,Indefinido,Jiangsu UIniv,,Não há padrão suficiente para corrigir automaticamente.,Baixa
Mar Curie Sklodowska Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Mar Curie Sklodowska University,Mar Curie Sklodowska Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tokyo City Univ,,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tokyo City University,Tokyo City Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
