nome_variacao_original,acao_recomendada,destino_sugerido,tipo_sugerido,nome_canonico_sugerido,variacao_a_adicionar,observacao,confianca
Univ Reading,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Reading,Univ Reading,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
East West Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,East West University,East West Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Estadual Campinas,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Estadual Campinas,Univ Estadual Campinas,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Columbia Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Columbia University,Columbia Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Colorado State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Colorado State University,Colorado State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Swinburne Univ Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Swinburne University Technology,Swinburne Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Turin,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Turin,Univ Turin,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kafrelsheikh Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kafrelsheikh University,Kafrelsheikh Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Prairie View A&M Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Prairie View A&M University,Prairie View A&M Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Dongbei Univ Finance & Econ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Dongbei University Finance & Econ,Dongbei Univ Finance & Econ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sungkyunkwan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sungkyunkwan University,Sungkyunkwan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Akdeniz Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Akdeniz University,Akdeniz Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Univ Sci & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National University Science & Technology,Natl Univ Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Elect Sci & Technol China,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Elect Science & Technology China,Univ Elect Sci & Technol China,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Galway,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Galway,Univ Galway,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Milan,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Milan,Univ Milan,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
George Mason Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,George Mason University,George Mason Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Norwegian Univ Sci & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Norwegian University Science & Technology,Norwegian Univ Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Bonn,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Bonn,Univ Bonn,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
China Univ Geosci,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,China University Geosci,China Univ Geosci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Aalborg Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Aalborg University,Aalborg Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Patras,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Patras,Univ Patras,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Urmia Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Urmia University,Urmia Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Recep Tayyip Erdogan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Recep Tayyip Erdogan University,Recep Tayyip Erdogan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Birmingham,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Birmingham,Univ Birmingham,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Paris Saclay,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Paris Saclay,Univ Paris Saclay,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Minho,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Minho,Univ Minho,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tech Univ Cluj Napoca,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Technology University Cluj Napoca,Tech Univ Cluj Napoca,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Carthage,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Carthage,Univ Carthage,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Texas Tech Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Texas Technology University,Texas Tech Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Trento,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Trento,Univ Trento,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Jordan Univ Sci & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Jordan University Science & Technology,Jordan Univ Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Xinjiang Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Xinjiang University,Xinjiang Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ EAFIT,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University EAFIT,Univ EAFIT,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cranfield Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Cranfield University,Cranfield Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Exeter,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Exeter,Univ Exeter,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Gachon Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Gachon University,Gachon Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Fed Parana,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Federal Parana,Univ Fed Parana,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Inner Mongolia Agr Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Inner Mongolia Agricultural University,Inner Mongolia Agr Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Teknol MARA,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Teknol MARA,Univ Teknol MARA,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Aberdeen,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Aberdeen,Univ Aberdeen,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Tabuk,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Tabuk,Univ Tabuk,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Seville,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Seville,Univ Seville,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Queensland Univ Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Queensland University Technology,Queensland Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Asia Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Asia University,Asia Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Johns Hopkins Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Johns Hopkins University,Johns Hopkins Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
South China Univ Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,South China University Technology,South China Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Xi An Jiao Tong Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Xi An Jiao Tong University,Xi An Jiao Tong Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sidi Mohamed Ben Abdellah Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sidi Mohamed Ben Abdellah University,Sidi Mohamed Ben Abdellah Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Manchester,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Manchester,Univ Manchester,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shanghai Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shanghai University,Shanghai Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Delft Univ Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Delft University Technology,Delft Univ Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shoolini Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shoolini University,Shoolini Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shahid Chamran Univ Ahvaz,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shahid Chamran University Ahvaz,Shahid Chamran Univ Ahvaz,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Bristol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Bristol,Univ Bristol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Newcastle Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Newcastle University,Newcastle Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Castilla La Mancha,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Castilla La Mancha,Univ Castilla La Mancha,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Czech Univ Life Sci Prague,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Czech University Life Science Prague,Czech Univ Life Sci Prague,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Graph Era Hill Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Graph Era Hill University,Graph Era Hill Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Graph Era Deemed Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Graph Era Deemed University,Graph Era Deemed Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Lebanese Amer Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Lebanese Amer University,Lebanese Amer Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Near East Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Near East University,Near East Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Pukyong Natl Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Pukyong National University,Pukyong Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Hong Kong,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Hong Kong,Univ Hong Kong,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Khalifa Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Khalifa University,Khalifa Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Tsing Hua Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Tsing Hua University,Natl Tsing Hua Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Humboldt Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Humboldt University,Humboldt Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chungbuk Natl Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Chungbuk National University,Chungbuk Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Maribor,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Maribor,Univ Maribor,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Calif San Diego,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Calif San Diego,Univ Calif San Diego,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Arkansas,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Arkansas,Univ Arkansas,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Loughborough Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Loughborough University,Loughborough Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Manchester Metropolitan Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Manchester Metropolitan University,Manchester Metropolitan Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Perugia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Perugia,Univ Perugia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
VSB Tech Univ Ostrava,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,VSB Technology University Ostrava,VSB Tech Univ Ostrava,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Cadi Ayyad Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Cadi Ayyad University,Cadi Ayyad Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sao Paulo State Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sao Paulo State University,Sao Paulo State Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Palermo,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Palermo,Univ Palermo,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
GB Pant Univ Agr & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,GB Pant University Agricultural & Technology,GB Pant Univ Agr & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Erzincan Binali Yildirim Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Erzincan Binali Yildirim University,Erzincan Binali Yildirim Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Tongji Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Tongji University,Tongji Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chungnam Natl Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Chungnam National University,Chungnam Natl Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Kasetsart Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Kasetsart University,Kasetsart Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shandong Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shandong University,Shandong Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
North West Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,North West University,North West Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Hamad Bin Khalifa Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Hamad Bin Khalifa University,Hamad Bin Khalifa Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Hail,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Hail,Univ Hail,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Chongqing Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Chongqing University,Chongqing Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Bucharest Univ Econ Studies,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Bucharest University Econ Studies,Bucharest Univ Econ Studies,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Pittsburgh,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Pittsburgh,Univ Pittsburgh,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Macquarie Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Macquarie University,Macquarie Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
London Sch Hyg & Trop Med,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,London Sch Hyg & Trop Med,London Sch Hyg & Trop Med,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Kassel,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Kassel,Univ Kassel,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Fujian Agr & Forestry Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Fujian Agricultural & Forestry University,Fujian Agr & Forestry Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Leiden Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Leiden University,Leiden Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Southampton,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Southampton,Univ Southampton,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Western Macedonia,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Western Macedonia,Univ Western Macedonia,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Iowa,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Iowa,Univ Iowa,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Symbiosis Int Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Symbiosis Int University,Symbiosis Int Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ La Rioja,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University La Rioja,Univ La Rioja,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Cattolica Sacro Cuore,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Cattolica Sacro Cuore,Univ Cattolica Sacro Cuore,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Islamia Univ Bahawalpur,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Islamia University Bahawalpur,Islamia Univ Bahawalpur,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Ibadan,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Ibadan,Univ Ibadan,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Doha Sci & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Doha Science & Technology,Univ Doha Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Natl Pingtung Univ Sci & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,National Pingtung University Science & Technology,Natl Pingtung Univ Sci & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Firat Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Firat University,Firat Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Warwick,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Warwick,Univ Warwick,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Connecticut,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Connecticut,Univ Connecticut,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ South Africa,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University South Africa,Univ South Africa,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Politecn Milan,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Politécnica Milan,Politecn Milan,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Glasgow,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Glasgow,Univ Glasgow,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Rajshahi Univ Engn & Technol,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Rajshahi University Engineering & Technology,Rajshahi Univ Engn & Technol,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Curtin Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Curtin University,Curtin Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Hungarian Univ Agr & Life Sci,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Hungarian University Agricultural & Life Science,Hungarian Univ Agr & Life Sci,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Beijing Univ Posts & Telecommun,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Beijing University Posts & Telecommun,Beijing Univ Posts & Telecommun,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Majmaah Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Majmaah University,Majmaah Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Brandenburg Univ Technol Cottbus Senftenberg,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Brandenburg University Technology Cottbus Senftenberg,Brandenburg Univ Technol Cottbus Senftenberg,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Assam Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Assam University,Assam Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Shahid Beheshti Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Shahid Beheshti University,Shahid Beheshti Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Uttaranchal Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Uttaranchal University,Uttaranchal Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Sher E Kashmir Univ Agr Sci & Technol Kashmir,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Sher E Kashmir University Agricultural Science & Technology Kashmir,Sher E Kashmir Univ Agr Sci & Technol Kashmir,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Prince Sattam bin Abdulaziz Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,Prince Sattam bin Abdulaziz University,Prince Sattam bin Abdulaziz Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Jeddah,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Jeddah,Univ Jeddah,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Brunei Darussalam,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Brunei Darussalam,Univ Brunei Darussalam,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
La Trobe Univ,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,La Trobe University,La Trobe Univ,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
Univ Ghana,adicionar_como_variacao_ou_validar_canonico,instituicoes,Instituição de Ensino Superior,University Ghana,Univ Ghana,Parece instituição acadêmica; cadastrar nome oficial completo e manter esta forma em variations.,Média
